Step,AgentID,Persona,Resources,Profit,Transaction_History,Transaction_Summary
0,consumer_0,b,1732.0,0.0,"[{'timestamp': 1, 'type': 'buy', 'amount': 19.681818181818183, 'price': 88.0, 'counterparty': 'utility_0', 'total_value': 1732.0000000000002, 'is_renewable': False}]","{'total_volume': 0, 'total_value': 0, 'avg_price': 0, 'renewable_score': 0}"
0,consumer_1,e,1224.0,0.0,"[{'timestamp': 1, 'type': 'buy', 'amount': 7.329458988909579, 'price': 92.38108325427625, 'counterparty': 'prosumer_2', 'total_value': 677.1033610632592, 'is_renewable': True}, {'timestamp': 2, 'type': 'buy', 'amount': 6.214734533372055, 'price': 88.0, 'counterparty': 'utility_1', 'total_value': 546.8966389367408, 'is_renewable': False}]","{'total_volume': 0, 'total_value': 0, 'avg_price': 0, 'renewable_score': 0}"
0,consumer_2,e,1653.0,0.0,"[{'timestamp': 2, 'type': 'buy', 'amount': 18.78409090909091, 'price': 88.0, 'counterparty': 'utility_1', 'total_value': 1653.0, 'is_renewable': False}]","{'total_volume': 0, 'total_value': 0, 'avg_price': 0, 'renewable_score': 0}"
0,consumer_3,b,1239.0,0.0,"[{'timestamp': 2, 'type': 'buy', 'amount': 14.079545454545455, 'price': 88.0, 'counterparty': 'utility_1', 'total_value': 1239.0, 'is_renewable': False}]","{'total_volume': 0, 'total_value': 0, 'avg_price': 0, 'renewable_score': 0}"
0,consumer_4,g,1557.0,0.0,"[{'timestamp': 1, 'type': 'buy', 'amount': 17.693181818181817, 'price': 88.0, 'counterparty': 'utility_1', 'total_value': 1556.9999999999998, 'is_renewable': False}, {'timestamp': 2, 'type': 'buy', 'amount': 2.5837917664003644e-15, 'price': 88.0, 'counterparty': 'utility_1', 'total_value': 2.2737367544323206e-13, 'is_renewable': False}]","{'total_volume': 0, 'total_value': 0, 'avg_price': 0, 'renewable_score': 0}"
0,prosumer_0,b,1456.1,-3.900000000000091,"[{'timestamp': 0, 'type': 'maintenance_cost', 'amount': 0, 'price': 3.9000000000000004, 'counterparty': 'prosumer_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'maintenance_cost', 'amount': 0, 'price': 3.9000000000000004, 'counterparty': 'prosumer_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'buy', 'amount': 7.329458988909579, 'price': 86.23371747832117, 'counterparty': 'prosumer_2', 'total_value': 632.0464957185701, 'is_renewable': True}, {'timestamp': 2, 'type': 'maintenance_cost', 'amount': 0, 'price': 3.9000000000000004, 'counterparty': 'prosumer_0', 'total_value': 0.0}, {'timestamp': 2, 'type': 'buy', 'amount': 9.21279350204774, 'price': 88.6, 'counterparty': 'prosumer_2', 'total_value': 816.2535042814297, 'is_renewable': True}, {'timestamp': 3, 'type': 'maintenance_cost', 'amount': 0, 'price': 6.4, 'counterparty': 'prosumer_0', 'total_value': 0.0}, {'timestamp': 4, 'type': 'maintenance_cost', 'amount': 0, 'price': 8.9, 'counterparty': 'prosumer_0', 'total_value': 0.0}]","{'total_volume': 0, 'total_value': 0.0, 'avg_price': 0, 'renewable_score': 0.0}"
0,prosumer_1,g,360.0999999999999,-1002.9000000000001,"[{'timestamp': 0, 'type': 'maintenance_cost', 'amount': 0, 'price': 2.9000000000000004, 'counterparty': 'prosumer_1', 'total_value': 0.0}, {'timestamp': 1, 'type': 'maintenance_cost', 'amount': 0, 'price': 5.4, 'counterparty': 'prosumer_1', 'total_value': 0.0}, {'timestamp': 1, 'type': 'buy', 'amount': 4.030681818181818, 'price': 88.0, 'counterparty': 'utility_1', 'total_value': 354.7, 'is_renewable': False}, {'timestamp': 2, 'type': 'maintenance_cost', 'amount': 0, 'price': 5.4, 'counterparty': 'prosumer_1', 'total_value': 0.0}, {'timestamp': 3, 'type': 'maintenance_cost', 'amount': 0, 'price': 5.4, 'counterparty': 'prosumer_1', 'total_value': 0.0}, {'timestamp': 4, 'type': 'maintenance_cost', 'amount': 0, 'price': 5.4, 'counterparty': 'prosumer_1', 'total_value': 0.0}]","{'total_volume': 0, 'total_value': 0.0, 'avg_price': 0, 'renewable_score': 0.0}"
0,prosumer_2,e,795.05,-1004.95,"[{'timestamp': 0, 'type': 'maintenance_cost', 'amount': 0, 'price': 4.95, 'counterparty': 'prosumer_2', 'total_value': 0.0}, {'timestamp': 1, 'type': 'maintenance_cost', 'amount': 0, 'price': 7.45, 'counterparty': 'prosumer_2', 'total_value': 0.0}, {'timestamp': 1, 'type': 'sell', 'amount': 7.329458988909579, 'price': 92.38108325427625, 'counterparty': 'consumer_1', 'total_value': 677.1033610632592, 'is_renewable': True}, {'timestamp': 1, 'type': 'sell', 'amount': 7.329458988909579, 'price': 86.23371747832117, 'counterparty': 'prosumer_0', 'total_value': 632.0464957185701, 'is_renewable': True}, {'timestamp': 2, 'type': 'maintenance_cost', 'amount': 0, 'price': 7.45, 'counterparty': 'prosumer_2', 'total_value': 0.0}, {'timestamp': 2, 'type': 'buy', 'amount': 23.742043827066244, 'price': 88.0, 'counterparty': 'utility_1', 'total_value': 2089.2998567818295, 'is_renewable': False}, {'timestamp': 2, 'type': 'sell', 'amount': 9.21279350204774, 'price': 88.6, 'counterparty': 'prosumer_0', 'total_value': 816.2535042814297, 'is_renewable': True}, {'timestamp': 3, 'type': 'maintenance_cost', 'amount': 0, 'price': 9.950000000000001, 'counterparty': 'prosumer_2', 'total_value': 0.0}, {'timestamp': 4, 'type': 'maintenance_cost', 'amount': 0, 'price': 9.950000000000001, 'counterparty': 'prosumer_2', 'total_value': 0.0}]","{'total_volume': 0, 'total_value': 0.0, 'avg_price': 0, 'renewable_score': 0.0}"
0,producer_0,greedy,40859.16,-14.139999999999418,"[{'timestamp': 0, 'type': 'sell', 'amount': 687, 'price': 42.9, 'counterparty': 'utility_0', 'total_value': 29472.3, 'is_renewable': False}, {'timestamp': 0, 'type': 'sell', 'amount': 20, 'price': 42.9, 'counterparty': 'utility_1', 'total_value': 858.0, 'is_renewable': False}, {'timestamp': 0, 'type': 'maintenance_cost', 'amount': 0, 'price': 14.14, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 1, 'type': 'maintenance_cost', 'amount': 0, 'price': 14.14, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 2, 'type': 'maintenance_cost', 'amount': 0, 'price': 14.14, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 3, 'type': 'maintenance_cost', 'amount': 0, 'price': 14.14, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 4, 'type': 'maintenance_cost', 'amount': 0, 'price': 14.14, 'counterparty': 'producer_0', 'total_value': 0.0}, {'timestamp': 4, 'type': 'fine_market_concentration', 'amount': 0, 'price': 1133.3696175242812, 'counterparty': 'producer_0', 'total_value': 0.0}]","{'total_volume': 707, 'total_value': 30330.3, 'avg_price': 42.9, 'renewable_score': 0.0}"
0,producer_1,balanced,44541.399999999994,-13.80000000000291,"[{'timestamp': 0, 'type': 'sell', 'amount': 208, 'price': 29.900000000000002, 'counterparty': 'utility_1', 'total_value': 6219.200000000001, 'is_renewable': False}, {'timestamp': 0, 'type': 'maintenance_cost', 'amount': 0, 'price': 13.8, 'counterparty': 'producer_1', 'total_value': 0.0}, {'timestamp': 1, 'type': 'maintenance_cost', 'amount': 0, 'price': 13.8, 'counterparty': 'producer_1', 'total_value': 0.0}, {'timestamp': 2, 'type': 'maintenance_cost', 'amount': 0, 'price': 13.8, 'counterparty': 'producer_1', 'total_value': 0.0}, {'timestamp': 3, 'type': 'maintenance_cost', 'amount': 0, 'price': 13.8, 'counterparty': 'producer_1', 'total_value': 0.0}, {'timestamp': 4, 'type': 'maintenance_cost', 'amount': 0, 'price': 53.800000000000004, 'counterparty': 'producer_1', 'total_value': 0.0}, {'timestamp': 4, 'type': 'fine_market_concentration', 'amount': 0, 'price': 1133.3696175242812, 'counterparty': 'producer_1', 'total_value': 0.0}]","{'total_volume': 208, 'total_value': 6219.200000000001, 'avg_price': 29.900000000000002, 'renewable_score': 0.0}"
